Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
28014,1701753355.7990553,1027640,128455,85,128455,85
43005,1701753355.7990553,991384,123923,82,123923,82
28014,1701753356.8171003,3877224,484653,319,613108,404
43005,1701753356.8171003,3877112,484639,319,608562,401
28014,1701753357.8956661,3676760,459595,303,1072703,707
43005,1701753357.8956661,3710504,463813,306,1072375,707
28014,1701753358.9112036,2806360,350795,232,1423498,939
43005,1701753358.9112036,2785072,348134,230,1420509,937
